fdc_id,food_ description,protein (g),total_lipid_fat (g),carbohydrate_by difference (g),energy (KCAL),alcohol_ethyl (g),water (g),caffeine (mg),total_sugars (g),calcium_ca (mg),magnesium_mg (mg),phosphorus_p (mg),potassium_k (mg),sodium_na (mg),zinc_zn (mg),copper_cu (mg),"vitamin_a, rae (ug)",vitamin_d (d2 + d3) (ug),"vitamin_c, total ascorbic acid (mg)",thiamin (mg),riboflavin (mg),vitamin_b-6 (mg),vitamin_b-12 (ug),vitamin_k (phylloquinone) (ug),folic_acid (ug),"vitamin_e, added (mg)","vitamin_b-12, added (ug)",cholesterol (mg),Temperament
2705409,"Almond milk, unsweetened",0.55,1.22,0.34,15,0,97.4,0,0,173,7,30,31,60,0.17,0.021,41,0.9,0,0,0.033,0,0.34,0,0,3.32,0.34,0,
2705413,Coconut milk,0.21,2.08,2.92,31,0,94.57,0,2.5,188,0,0,19,19,0,0,63,1,0,0,0,0,0.63,0,0,0,0.63,0,
2705686,"Firni, Indian pudding",3.58,3.11,25.13,144,0,67.45,0,15.66,100,14,95,136,30,0.47,0.037,24,0.8,0,0.087,0.122,0.057,0.23,0.3,16,0,0,9,
2705818,"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing",7.17,10.87,3.86,139,0,76.67,0,2.32,203,16,163,182,209,1.13,0.056,89,0.1,8.6,0.029,0.113,0.077,0.46,27.2,0,0,0,18,
2705878,Ham,19.04,3.87,1.58,117,0,71.89,0,1.54,8,20,276,371,1149,1.84,0.124,13,0.7,0,0.426,0.191,0.411,0.4,0,0,0,0,54,
2705908,Goat,26.88,3.01,0,142,0,67.67,0,0,17,0,199,402,392,5.23,0.301,0,0,0,0.089,0.605,0,1.18,1.2,0,0,0,74,
2705912,Rabbit,0.06,0.175,344,0,0.169,8.34,0,0,6.46,30.14,58.36,20,20,0,85,0,0,2.35,0,204,0,0,1.6,298,0,224,0.337,
2705918,Bear,32.16,13.28,0,257,0,53.13,0,0,5,23,169,261,378,10.19,0.147,0,0,0,0.099,0.813,0.288,2.45,1.8,0,0,0,97,
2705959,"Chicken breast, baked or broiled, skin eaten, from fast food / restaurant",25.67,10.6,0,206,0,61.77,0,0,7,23,191,291,406,0.87,0.043,17,0.1,0,0.072,0.176,0.684,0.17,2.5,0,0,0,95,
2706153,"Liver, beef",26.31,4.64,5.12,174,0,61.52,0,0,6,22,481,348,384,5.19,14.472,7683,1.2,0.7,0.176,3.398,1.019,82.47,3.9,0,0,0,378,
