fdc_id,food_ description,protein (g),total_lipid_fat (g),carbohydrate_by difference (g),energy (KCAL),alcohol_ethyl (g),water (g),caffeine (mg),total_sugars (g),calcium_ca (mg),magnesium_mg (mg),phosphorus_p (mg),potassium_k (mg),sodium_na (mg),zinc_zn (mg),copper_cu (mg),"vitamin_a, rae (ug)",vitamin_d (d2 + d3) (ug),"vitamin_c, total ascorbic acid (mg)",thiamin (mg),riboflavin (mg),vitamin_b-6 (mg),vitamin_b-12 (ug),vitamin_k (phylloquinone) (ug),folic_acid (ug),"vitamin_e, added (mg)","vitamin_b-12, added (ug)",cholesterol (mg),Temperament
2705385,"Milk, whole",3.27,3.2,4.63,61,0,88.1,0,4.81,0,123,12,101,150,38,0.42,0.001,32,1.1,0,0.056,0.138,0.54,0.3,0,0,0,12,2
2705393,Buttermilk,3.46,1.08,4.81,43,0,89.79,0,5.36,0,120,11,92,158,92,0.43,0.001,36,0.5,1,0.048,0.196,0.22,0.1,0,0,0,5,0
2705395,Goat milk,3.56,4.14,4.45,69,0,87.03,0,4.45,0,134,14,111,204,50,0.3,0.046,57,1.3,1.3,0.048,0.138,0.07,0.3,0,0,0,11,0
2705434,"Yogurt, whole milk, flavors other than fruit",3.28,3.88,11.76,95,0,80.32,0,10.5,0,109,10,87,141,36,0.37,0.004,41,1.2,0.4,0.047,0.21,0.32,0.2,0,0,0,12,0
2705435,"Yogurt, low fat milk, flavors other than fruit",4.51,1.36,13.02,82,0,80.14,0,13.04,0,158,15,124,201,61,0.77,0.012,12,1.2,0.7,0.038,0.185,0.48,0.2,0,0,0,5,0
2705439,"Yogurt, Greek, low fat milk, flavors other than fruit",9.07,1.34,8.18,81,0,80.79,0,7.87,0,98,10,120,124,32,0.47,0.016,9,0.9,0,0.019,0.248,0.62,0.1,0,0,0,7,0
2705593,"Cream, light",2.96,19.1,3.66,195,0,73.75,0,3.67,0,91,9,92,136,72,0.32,0.012,120,1.1,0.8,0.023,0.19,0.14,1.7,0,0,0,59,0
2705597,"Cream, heavy",2.02,35.56,3.8,343,0,58.13,0,2.92,0,61,6,57,97,21,0.22,0,327,1.6,0.6,0.032,0.188,0,3.2,0,0,0,103,1
2705709,"Cheese, Cheddar",23.3,34,2.44,409,0,36.6,0,0.33,0,707,27,458,77,654,3.67,0.033,316,0.6,0,0.029,0.441,1.06,2.4,0,0,0,100,0
2705714,"Cheese, Feta",19.71,19.08,5.58,273,0,51.89,0,1.63,0,371,18,328,105,1034,2.35,0.032,147,0,0,0.056,0.444,1.69,1.8,0,0,0,58,0
2705716,"Cheese, goat",21.58,29.84,0.12,364,0,45.52,0,0.12,0,298,29,375,158,415,0.66,0.564,407,0.5,0,0.072,0.676,0.22,2.5,0,0,0,79,0
2705721,"Cheese, Monterey, reduced fat",28.2,21.6,0.7,313,0,46,0,0.56,0,705,27,444,81,781,3,0.032,142,0.4,0,0.02,0.36,0.83,1.8,0,0,0,65,0
2705819,"Meat, NFS",27.13,11.29,0,215,0,59.98,0,0,0,15,22,228,352,363,4.43,0.08,3,0.3,0,0.282,0.238,1.63,1,0,0,0,82,1
